session,symbol,is_event_day,order_size_shares,n_slices,slice_seconds,sigma_d,session_volume,adv_20d,c_hat,lambda_ref,risk_aversion_low,risk_aversion_medium,risk_aversion_high,bucket_seconds,n_buckets,min_orders_per_bucket,median_orders_per_bucket,spearman_rho,spearman_p
MSFT_2024-06-03,MSFT,False,66749.276,117,60,0.0103813192550854,5576188.0,6674927.6,1.2712153398707349,0.00011912498436312148,1.1912498436312149e-05,0.00011912498436312148,0.001191249843631215,1800,4,439,512.0,-0.39999999999999997,0.6
MSFT_2024-04-01,MSFT,False,79469.1655,117,60,0.013178368812936,5810226.0,7946916.55,0.8834379032522344,6.093106468583434e-05,6.093106468583435e-06,6.093106468583434e-05,0.0006093106468583434,1800,4,292,367.5,-0.7999999999999999,0.2000000000000001
MSFT_2024-10-01,MSFT,False,76862.814,117,60,0.010498341243707,7075746.0,7686281.4,1.5222138332501456,0.0001209922468842442,1.2099224688424422e-05,0.0001209922468842442,0.001209922468842442,1800,4,516,672.5,-0.39999999999999997,0.6
MSFT_2024-12-02,MSFT,False,78167.246,117,60,0.0116225816858351,6568878.0,7816724.6,1.352604738303807,0.00010280516575896991,1.028051657589699e-05,0.00010280516575896991,0.0010280516575896992,1800,4,245,331.0,-0.19999999999999998,0.8
INTC_2024-08-02,INTC,True,171966.927,117,60,0.0686223726567119,65284503.0,17196692.7,0.6393842554418757,1.7989069605801404e-06,1.7989069605801404e-07,1.7989069605801404e-06,1.7989069605801405e-05,1800,4,254,289.5,-0.39999999999999997,0.6
INTC_2024-04-01,INTC,False,143276.306,118,60,0.0263401881510598,10477384.0,14327630.6,0.6938123714851157,1.3640730024723816e-05,1.3640730024723817e-06,1.3640730024723816e-05,0.00013640730024723816,1800,4,111,164.5,-0.19999999999999998,0.8
INTC_2024-10-01,INTC,False,283646.2675,118,60,0.0399704286395414,21982123.0,28364626.75,0.8708559125356132,5.178990312567178e-06,5.178990312567178e-07,5.178990312567178e-06,5.1789903125671776e-05,1800,4,86,101.5,-0.7999999999999999,0.2000000000000001
INTC_2024-12-02,INTC,False,188941.27899999998,116,60,0.0310953110349547,40020647.0,18894127.9,1.3088858296387875,9.891646623458553e-06,9.891646623458553e-07,9.891646623458553e-06,9.891646623458553e-05,1800,4,209,353.0,-0.39999999999999997,0.6
AAPL_2024-04-01,AAPL,False,246470.069,117,60,0.0135100594888902,15098956.0,24647006.9,0.5915731672438359,1.458039255519451e-05,1.458039255519451e-06,1.458039255519451e-05,0.0001458039255519451,1800,4,261,380.5,-0.19999999999999998,0.8
AAPL_2024-06-03,AAPL,False,197039.192,117,60,0.009610342028172,18618509.0,19703919.2,1.033837440407745,3.610616323770064e-05,3.6106163237700646e-06,3.610616323770064e-05,0.0003610616323770064,1800,4,761,859.0,-1.0,0.0
AAPL_2024-08-01,AAPL,False,171712.04100000003,117,60,0.0151008967133352,21278097.0,17171204.1,1.197518247791306,2.66493241780144e-05,2.6649324178014404e-06,2.66493241780144e-05,0.000266493241780144,1800,4,1402,1477.5,-0.19999999999999998,0.8
AAPL_2024-10-01,AAPL,False,228259.31,117,60,0.0134153886704739,20540253.0,22825931.0,1.0650669319610917,2.4305231728994705e-05,2.4305231728994707e-06,2.4305231728994705e-05,0.00024305231728994706,1800,4,871,1412.0,-0.7999999999999999,0.2000000000000001
